,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
103433,103434,Twelfth Night,100.0,1.5.217,OLIVIA,"'Tis in grain, sir, 'twill endure wind and weather."
103434,103435,Twelfth Night,101.0,1.5.218,VIOLA,"'Tis beauty truly blent, whose red and white"
103435,103436,Twelfth Night,101.0,1.5.219,VIOLA,Nature's own sweet and cunning hand laid on:
103436,103437,Twelfth Night,101.0,1.5.220,VIOLA,"Lady, you are the cruell'st she alive,"
103437,103438,Twelfth Night,101.0,1.5.221,VIOLA,If you will lead these graces to the grave
103438,103439,Twelfth Night,101.0,1.5.222,VIOLA,And leave the world no copy.
103439,103440,Twelfth Night,102.0,1.5.223,OLIVIA,"O, sir, I will not be so hard-hearted, I will give"
103440,103441,Twelfth Night,102.0,1.5.224,OLIVIA,out divers schedules of my beauty: it shall be
103441,103442,Twelfth Night,102.0,1.5.225,OLIVIA,"inventoried, and every particle and utensil"
103442,103443,Twelfth Night,102.0,1.5.226,OLIVIA,"labelled to my will: as, item, two lips,"
103443,103444,Twelfth Night,102.0,1.5.227,OLIVIA,"indifferent red, item, two grey eyes, with lids to"
103444,103445,Twelfth Night,102.0,1.5.228,OLIVIA,"them, item, one neck, one chin, and so forth. Were"
103445,103446,Twelfth Night,102.0,1.5.229,OLIVIA,you sent hither to praise me?
103446,103447,Twelfth Night,103.0,1.5.230,VIOLA,"I see you what you are, you are too proud,"
103447,103448,Twelfth Night,103.0,1.5.231,VIOLA,"But, if you were the devil, you are fair."
103448,103449,Twelfth Night,103.0,1.5.232,VIOLA,"My lord and master loves you: O, such love"
103449,103450,Twelfth Night,103.0,1.5.233,VIOLA,"Could be but recompensed, though you were crown'd"
103450,103451,Twelfth Night,103.0,1.5.234,VIOLA,The nonpareil of beauty!
103451,103452,Twelfth Night,104.0,1.5.235,OLIVIA,How does he love me?
103452,103453,Twelfth Night,105.0,1.5.236,VIOLA,"With adorations, fertile tears,"
103453,103454,Twelfth Night,105.0,1.5.237,VIOLA,"With groans that thunder love, with sighs of fire."
103454,103455,Twelfth Night,106.0,1.5.238,OLIVIA,"Your lord does know my mind, I cannot love him:"
103455,103456,Twelfth Night,106.0,1.5.239,OLIVIA,"Yet I suppose him virtuous, know him noble,"
103456,103457,Twelfth Night,106.0,1.5.240,OLIVIA,"Of great estate, of fresh and stainless youth,"
103457,103458,Twelfth Night,106.0,1.5.241,OLIVIA,"In voices well divulged, free, learn'd and valiant,"
103458,103459,Twelfth Night,106.0,1.5.242,OLIVIA,And in dimension and the shape of nature
103459,103460,Twelfth Night,106.0,1.5.243,OLIVIA,"A gracious person: but yet I cannot love him,"
103460,103461,Twelfth Night,106.0,1.5.244,OLIVIA,He might have took his answer long ago.
103461,103462,Twelfth Night,107.0,1.5.245,VIOLA,"If I did love you in my master's flame,"
